snapshot_date,product_id,inventory_qty,warehouse,,,
202311,00700-C030022,200.000000,10,,,
202311,00897-C010001,601295.600000,10,,,
202311,00897-C010002,396999.000000,10,,,
202311,00897-C010003,645425.000300,10,,,
202311,00897-C010004,21000.000000,10,,,
202311,00897-C010005,453825.000100,10,,,
202311,00897-C010006,737617.700000,10,,,
202311,00897-C010007,86000.000000,10,,,
202311,00897-C010017,324000.000000,10,,,
202311,00897-C010018,198000.000000,10,,,
202311,00897-C010019,89000.000000,10,,,
202311,01028-C010002,40000.000000,10,,,
202311,01028-C010003,2000.000000,10,,,
202311,01028-C010004,14000.000000,10,,,
202311,01028-C010005,140000.000000,10,,,
202311,01028-C020001,3122785.900000,10,,,
202311,01028-C020002,950000.000000,10,,,
202311,01240-C020001,3100.000000,10,,,
202311,01240-C020002,97590.005900,10,,,
202311,01240-C020003,62092.100000,10,,,
202311,01240-C020004,34727.570000,10,,,
202311,01240-C020005,53309.800000,10,,,
202311,01240-C020006,79779.000000,10,,,
202311,01240-C020007,148620.000000,10,,,
202311,01240-C020008,109228.000000,10,,,
202311,01240-C020009,53864.000000,10,,,
202311,01240-C020010,59872.400000,10,,,
202311,01240-C020011,280000.000000,10,,,
202311,01240-C020012,49933.000000,10,,,
202311,01240-C020013,25000.000000,10,,,
202311,01240-C020014,856055.800000,10,,,
202311,01240-C020015,90000.000000,10,,,
202311,01240-C020016,149400.000000,10,,,
202311,01240-C020017,14993.000000,10,,,
202311,01240-C020018,100000.000000,10,,,
202311,01240-C020019,21000.000000,10,,,
202311,01240-C020022,19938.762200,10,,,
202311,01403-C020001,30550.000000,10,,,
202311,01475-C020001,18616.360000,10,,,
202311,02333-C020001,4300.000000,10,,,
202311,02394-C020001,20000.000000,10,,,
202311,02588-C020001,10900.000000,10,,,
202311,02761-C020001,29491.290000,10,,,
202311,03350-C020001,10000.000000,10,,,
202311,03353-C010001,105500.000000,10,,,
202311,03353-C0100015,24000.000000,10,,,
202311,03353-C010002,221264.500000,10,,,
202311,03353-C010004,20000.000000,10,,,
202311,03353-C010005,103000.000000,10,,,
202311,03353-C010014,18000.000000,10,,,
202311,03353-C010016,3000.000000,10,,,
202311,03353-C010017,100000.000000,10,,,
